Состояние,Бренд,Модель,Процессор,Оперативная память (ГБ),Частота процессора,Количество ядер,Диагональ (дюйм),Разрешение экрана,Тип матрицы,Видеокарта,Тип,Назначение,Накопитель,Объем накопителя,ОС,Цвет,Емкость батареи,Доставка,Title,Link,Price
Б/у,Sony,SVF152A29,Intel Core i5,6,2.5 - 2.9 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Белый,До 3500 мАч,Самовывоз,"Sony SVF152A29, Intel Core i5, 6 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/sony-svf152a29-intel-core-i5-6-gb-ozu-156-id-90724548,15 000 KGS
Б/у,,,,,,,,,,,Нетбук,"Для работы, учебы",,,,,,Самовывоз,"Продаю нетбук irbis nb 110 в хорошем состоянии, возможен торг",https://lalafo.kg/kant/ads/prodau-netbuk-irbis-nb-110-v-horosem-sostoanii-vozmozen-torg-id-97898155,8 000 KGS
Б/у,Sony,,Intel Core i5,6,,6,,,,,Ноутбук,,,,,Белый,,,"Sony Intel Core i5, 6 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/sony-intel-core-i5-6-gb-ozu-id-97440108,25 000 KGS
Б/у,HP,HP 250 G6,Другой процессор,,,,,,,,Ноутбук,"Для работы, учебы",,128 ГБ,Windows,Серый,,Платная доставка,"HP HP 250 G6, Другой процессор",https://lalafo.kg/bishkek/ads/hp-hp-250-g6-drugoj-processor-id-94204845,21 000 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
Б/у,Asus,X455L,Intel Core i5,4,2.0 - 2.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Asus X455L, Intel Core i5, 4 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/asus-x455l-intel-core-i5-4-gb-ozu-15-id-75690031,26 000 KGS
Б/у,Asus,,,до 2,,,,,,,Ноутбук,"Для работы, учебы",,,Windows,Серебристый,,Платная доставка,Asus до 2 ГБ ОЗУ,https://lalafo.kg/bishkek/ads/asus-do-2-gb-ozu-id-96441246,8 000 KGS
Б/у,Sony,SVF152A29,Intel Core i5,6,2.5 - 2.9 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Белый,До 3500 мАч,Самовывоз,"Sony SVF152A29, Intel Core i5, 6 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/sony-svf152a29-intel-core-i5-6-gb-ozu-156-id-90724548,15 000 KGS
Б/у,,,,,,,,,,,Нетбук,"Для работы, учебы",,,,,,Самовывоз,"Продаю нетбук irbis nb 110 в хорошем состоянии, возможен торг",https://lalafo.kg/kant/ads/prodau-netbuk-irbis-nb-110-v-horosem-sostoanii-vozmozen-torg-id-97898155,8 000 KGS
Б/у,Sony,,Intel Core i5,6,,6,,,,,Ноутбук,,,,,Белый,,,"Sony Intel Core i5, 6 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/sony-intel-core-i5-6-gb-ozu-id-97440108,25 000 KGS
Б/у,HP,HP 250 G6,Другой процессор,,,,,,,,Ноутбук,"Для работы, учебы",,128 ГБ,Windows,Серый,,Платная доставка,"HP HP 250 G6, Другой процессор",https://lalafo.kg/bishkek/ads/hp-hp-250-g6-drugoj-processor-id-94204845,21 000 KGS
Б/у,Dell,X240,Intel Core i5,4,1.5 - 1.9 ГГц,4,13.3,,Другой тип матрицы,,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Dell X240, Intel Core i5, 4 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/dell-x240-intel-core-i5-4-gb-ozu-133-id-85097191,30 000 KGS
Новый,Lenovo,IDEAPAD,AMD A9,4,Более 3 ГГц,До 2,15.6,Full HD (1920x1080),IPS,,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Windows,Серебристый,,Самовывоз,"Lenovo IDEAPAD, AMD A9, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-ideapad-amd-a9-4-gb-ozu-156-id-64983821,29 500 KGS
Б/у,Dell,E5540,Intel Core i5,8,2.5 - 2.9 ГГц,4,13.5,HD (1366x768),TN+film,Другая видеокарта,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Windows,Черный,4000 - 5000 мАч,Самовывоз,"Dell E5540, Intel Core i5, 8 ГБ ОЗУ, 13.5 """,https://lalafo.kg/bishkek/ads/dell-e5540-intel-core-i5-8-gb-ozu-135-id-91232243,35 000 KGS
Новый,Lenovo,,,2,,,,,,,,,,,,,,,Ноутбук сатылат ленова почти новый 18 000,https://lalafo.kg/osh/ads/noutbuk-satylat-lenova-pocti-novyj-18-000-id-99615400,180 000 KGS
Б/у,Apple,,Intel Celeron,до 2,Более 3 ГГц,4,13.1,4K (3840х2160),AMOLED,NVIDIA GeForce GTX 1050,Ноутбук,Игровой,HDD,128 ГБ,Mac OS,Серый,3500 - 4000 мАч,Самовывоз,"Apple Intel Celeron, до 2 ГБ ОЗУ, 13.1 """,https://lalafo.kg/dzhalal-abad/ads/apple-intel-celeron-do-2-gb-ozu-131-id-98681978,5 500 KGS
,Acer,,,,,,,,,,,,,,,,,,Бесплатная утилизация компьютерной техники Самовывоз Процессоры,https://lalafo.kg/bishkek/ads/besplatnaa-utilizacia-komputernoj-tehniki-samovyvoz-processory-id-88760897,Договорная
Б/у,Asus,,Intel Core i3,4,,4,15.6,,,,Ноутбук,Игровой,HDD,,Windows,Черный,,,"Asus Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-156-id-90690788,8 000 KGS
Б/у,Toshiba,,,до 2,,2,,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,Рабочий ноутбук,https://lalafo.kg/lebedinovka/ads/rabocij-noutbuk-id-97997606,6 000 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
,Acer,,,,,,,,,,,,,,,,,,Бесплатная утилизация компьютерной техники Самовывоз Процессоры,https://lalafo.kg/bishkek/ads/besplatnaa-utilizacia-komputernoj-tehniki-samovyvoz-processory-id-88760897,Договорная
Б/у,Asus,,Intel Core i3,4,,4,15.6,,,,Ноутбук,Игровой,HDD,,Windows,Черный,,,"Asus Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-156-id-90690788,8 000 KGS
Б/у,Toshiba,,,до 2,,2,,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,Рабочий ноутбук,https://lalafo.kg/lebedinovka/ads/rabocij-noutbuk-id-97997606,6 000 KGS
Б/у,Apple,Air,Apple M1,8,Более 3 ГГц,8,13.1,Другое разрешение экрана,Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD,256 ГБ,Mac OS,Серебристый,До 3500 мАч,Самовывоз,"Apple Air, Apple M1, 8 ГБ ОЗУ, 13.1 """,https://lalafo.kg/bishkek/ads/apple-air-apple-m1-8-gb-ozu-131-id-70541560,1 000 USD
Б/у,Acer,ES1-533,Intel Celeron,4,До 1.4 ГГц,2,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,до 128 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Acer ES1-533, Intel Celeron, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-es1-533-intel-celeron-4-gb-ozu-156-id-73851161,16 000 KGS
Б/у,Acer,Е5-575G,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),TN+film,,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Acer Е5-575G, Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-e5-575g-intel-core-i3-4-gb-ozu-156-id-97617777,24 000 KGS
Новый,Другой бренд ноутбука,,,,,,,,,,,Игровой,SSD,,Windows,Черный,,Самовывоз,"Ноутбук DELL G7 7700 17.3 i7-10750h RTX 2070   Core i7 - 10750H, 6",https://lalafo.kg/bishkek/ads/-id-96084212,1 350 USD
,Acer,,Intel Core i3,,,,,,,,,,,,,,,,Aser E5-571G i3 4 поколения Ноутбук в отличном состоянии. Параметры,https://lalafo.kg/bishkek/ads/aser-e5-571g-i3-4-pokolenia-noutbuk-v-otlicnom-sostoanii-parametry-id-99612052,19 500 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
Б/у,Asus,X455L,Intel Core i5,4,2.0 - 2.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Asus X455L, Intel Core i5, 4 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/asus-x455l-intel-core-i5-4-gb-ozu-15-id-75690031,26 000 KGS
Б/у,Dell,,Intel Core i5,16,Более 3 ГГц,8,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1660 Ti,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,Более 7000 мАч,Самовывоз,"Dell Intel Core i5, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/dell-intel-core-i5-16-gb-ozu-156-id-98673680,950 USD
Б/у,Toshiba,,Intel Pentium,до 2,,2,,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,"Продаю ноутбук TOSHIBA Ноутбук старый, из информации только винда XP",https://lalafo.kg/bishkek/ads/prodau-noutbuk-toshiba-noutbuk-staryj-iz-informacii-tolko-vinda-xp-id-90023886,1 500 KGS
Б/у,Acer,B118,Intel Pentium,4,1.5 - 1.9 ГГц,4,11.6,HD (1366x768),IPS,,Ноутбук,Игровой,SSD,до 128 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Acer B118, Intel Pentium, 4 ГБ ОЗУ, 11.6 """,https://lalafo.kg/bishkek/ads/acer-b118-intel-pentium-4-gb-ozu-116-id-94758148,22 000 KGS
Б/у,Другой бренд ноутбука,,,до 2,,32,,,,,Нетбук,"Для работы, учебы",,до 128 ГБ,Windows,Черный,4000 - 5000 мАч,Самовывоз,До 2 ГБ ОЗУ,https://lalafo.kg/bishkek/ads/do-2-gb-ozu-id-98534359,3 000 KGS
,Lenovo,,Intel Core i5,8,2.0 - 2.4 ГГц,,14,2K (2560x1440),IPS,,Ультрабук,"Для работы, учебы",SSD,256 ГБ,Windows,Черный,,,"Lenovo Intel Core i5, 8 ГБ ОЗУ, 14 """,https://lalafo.kg/osh/ads/lenovo-intel-core-i5-8-gb-ozu-14-id-99612555,33 000 KGS
Б/у,Apple,iBook,,,,,,,,,Ноутбук,,,,Mac OS,Белый,,,Apple iBook,https://lalafo.kg/osh/ads/apple-ibook-id-99612193,5 000 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
Б/у,Asus,X455L,Intel Core i5,4,2.0 - 2.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Asus X455L, Intel Core i5, 4 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/asus-x455l-intel-core-i5-4-gb-ozu-15-id-75690031,26 000 KGS
Б/у,Toshiba,,Intel Pentium,до 2,,2,,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,"Продаю ноутбук TOSHIBA Ноутбук старый, из информации только винда XP",https://lalafo.kg/bishkek/ads/prodau-noutbuk-toshiba-noutbuk-staryj-iz-informacii-tolko-vinda-xp-id-90023886,1 500 KGS
Б/у,Acer,B118,Intel Pentium,4,1.5 - 1.9 ГГц,4,11.6,HD (1366x768),IPS,,Ноутбук,Игровой,SSD,до 128 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Acer B118, Intel Pentium, 4 ГБ ОЗУ, 11.6 """,https://lalafo.kg/bishkek/ads/acer-b118-intel-pentium-4-gb-ozu-116-id-94758148,22 000 KGS
Б/у,Другой бренд ноутбука,,,до 2,,32,,,,,Нетбук,"Для работы, учебы",,до 128 ГБ,Windows,Черный,4000 - 5000 мАч,Самовывоз,До 2 ГБ ОЗУ,https://lalafo.kg/bishkek/ads/do-2-gb-ozu-id-98534359,3 000 KGS
,Lenovo,,Intel Core i5,8,2.0 - 2.4 ГГц,,14,2K (2560x1440),IPS,,Ультрабук,"Для работы, учебы",SSD,256 ГБ,Windows,Черный,,,"Lenovo Intel Core i5, 8 ГБ ОЗУ, 14 """,https://lalafo.kg/osh/ads/lenovo-intel-core-i5-8-gb-ozu-14-id-99612555,33 000 KGS
Б/у,Apple,iBook,,,,,,,,,Ноутбук,,,,Mac OS,Белый,,,Apple iBook,https://lalafo.kg/osh/ads/apple-ibook-id-99612193,5 000 KGS
Новый,Lenovo, DESKTOP,AMD Ryzen 5,8,2.5 - 2.9 ГГц,6,14.3,Full HD (1920x1080),AMOLED,AMD Radeon RX 5500M,Ноутбук,Игровой,HDD + SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Платная доставка,"Lenovo DESKTOP, AMD Ryzen 5, 8 ГБ ОЗУ, 14.3 """,https://lalafo.kg/bishkek/ads/lenovo-desktop-amd-ryzen-5-8-gb-ozu-143-id-99611788,60 000 KGS
Б/у,Lenovo,,Intel Core i7,,,,15,,,,Ноутбук,,,,Windows,Черный,,Самовывоз,"Lenovo Intel Core i7, 15 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i7-15-id-99065568,46 000 KGS
,Packard Bell,,,,,,,,,,,,,,,,,,"Packard Bell Easynote F1236 Экран 15.4"" / Процессор Intel(R)",https://lalafo.kg/bishkek/ads/packard-bell-easynote-f1236-ekran-154-processor-intelr-id-99610929,4 500 KGS
Б/у,Apple,air 13(2017),Intel Core i5,8,,,13.1,,,,Ноутбук,"Для работы, учебы",SSD,256 ГБ,Mac OS,Серый,5000 - 6000 мАч,Самовывоз,"Apple air 13(2017), Intel Core i5, 8 ГБ ОЗУ, 13.1 """,https://lalafo.kg/bishkek/ads/apple-air-132017-intel-core-i5-8-gb-ozu-131-id-99610822,60 000 KGS
Б/у,Sony,,,,,,,4K (3840х2160),,,Ноутбук,Игровой,,512 ГБ,Windows,Черный,,Самовывоз,Sony,https://lalafo.kg/bishkek/ads/sony-id-99473956,16 999 KGS
